timestamp,camera_id,frame_id,decode_ms,detection_ms,tracking_ms,reid_ms,matching_ms,total_ai_ms
2026-09-01T15:49:12.377145+07:00,c8,28,39.813,39.178,0.000,0.000,0.002,78.993
2026-09-01T15:49:12.377197+07:00,c9,26,35.838,39.178,0.000,0.000,0.001,75.017
2026-09-01T15:49:12.377221+07:00,c10,25,31.752,39.178,0.000,0.000,0.001,70.931
2026-09-01T15:49:12.377241+07:00,c11,24,54.275,39.178,0.000,0.000,0.001,93.454
2026-09-01T15:49:12.377261+07:00,c12,20,16.776,39.178,0.000,0.000,0.001,55.955
2026-09-01T15:49:12.412682+07:00,c8,29,49.638,35.351,0.000,0.000,0.003,84.992
2026-09-01T15:49:12.412748+07:00,c9,27,43.781,35.351,0.000,0.000,0.001,79.133
2026-09-01T15:49:12.412772+07:00,c10,26,42.218,35.351,0.000,0.000,0.001,77.570
2026-09-01T15:49:12.412798+07:00,c11,25,28.194,35.351,0.000,0.000,0.000,63.546
2026-09-01T15:49:12.412825+07:00,c12,21,42.191,35.351,0.000,0.000,0.001,77.543
2026-09-01T15:49:12.430480+07:00,c8,30,30.502,17.563,0.000,0.000,0.002,48.067
2026-09-01T15:49:12.430568+07:00,c12,22,29.012,17.563,0.000,0.000,0.001,46.575
2026-09-01T15:49:12.460346+07:00,c9,28,45.524,29.705,0.000,0.000,0.003,75.232
2026-09-01T15:49:12.460402+07:00,c10,27,52.001,29.705,0.000,0.000,0.001,81.708
2026-09-01T15:49:12.460429+07:00,c11,26,50.642,29.705,0.000,0.000,0.001,80.348
2026-09-01T15:49:12.460449+07:00,c12,23,39.872,29.705,0.000,0.000,0.001,69.578
2026-09-01T15:49:12.492313+07:00,c8,31,37.998,31.799,0.000,0.000,0.002,69.800
2026-09-01T15:49:12.492360+07:00,c9,29,25.982,31.799,0.000,0.000,0.001,57.782
2026-09-01T15:49:12.492383+07:00,c10,28,26.280,31.799,0.000,0.000,0.001,58.080
2026-09-01T15:49:12.492406+07:00,c11,27,40.039,31.799,0.000,0.000,0.001,71.839
2026-09-01T15:49:12.492428+07:00,c12,24,48.657,31.799,0.000,0.000,0.000,80.457
2026-09-01T15:49:12.514544+07:00,c8,32,56.572,22.049,0.000,0.000,0.002,78.623
2026-09-01T15:49:12.514599+07:00,c11,28,28.707,22.049,0.000,0.000,0.001,50.757
2026-09-01T15:49:12.514624+07:00,c12,25,35.437,22.049,0.000,0.000,0.001,57.487
2026-09-01T15:49:12.524137+07:00,c10,29,42.383,9.442,0.000,0.000,0.003,51.828
2026-09-01T15:49:12.546035+07:00,c9,30,75.458,21.791,0.000,0.000,0.002,97.252
2026-09-01T15:49:12.546123+07:00,c11,29,39.404,21.791,0.000,0.000,0.001,61.196
2026-09-01T15:49:12.546148+07:00,c12,26,38.062,21.791,0.000,0.000,0.001,59.854
2026-09-01T15:49:12.562279+07:00,c9,31,12.077,16.061,0.000,0.000,0.002,28.140
2026-09-01T15:49:12.562333+07:00,c10,30,43.666,16.061,0.000,0.000,0.001,59.727
2026-09-01T15:49:12.571203+07:00,c12,27,45.931,8.741,0.000,0.000,0.003,54.675
2026-09-01T15:49:12.581812+07:00,c11,30,47.245,10.522,0.000,0.000,0.002,57.770
2026-09-01T15:49:12.589256+07:00,c10,31,36.959,7.345,0.000,0.000,0.002,44.306
2026-09-01T15:49:12.623525+07:00,c11,31,30.306,13.951,0.000,0.000,0.003,44.260
2026-09-01T15:49:12.623581+07:00,c12,28,29.970,13.951,0.000,0.000,0.001,43.921
2026-09-01T15:49:12.635479+07:00,c9,32,82.023,11.846,0.000,0.000,0.001,93.870
