timestamp,cpu_percent,ram_percent,cpu_peak,ram_peak,fps_effective,gpu_util,vram_mb
2026-09-02T11:40:12.962039+07:00,81.4,81.4,84.0,87.1,8.00,,
2026-09-02T11:40:14.970406+07:00,71.0,78.5,84.0,87.1,16.50,,
2026-09-02T11:40:16.975697+07:00,64.6,78.0,84.0,87.1,21.50,,
2026-09-02T11:40:18.978741+07:00,63.9,78.1,84.0,87.1,19.50,,
2026-09-02T11:40:20.982463+07:00,65.6,77.7,84.0,87.1,19.50,,
2026-09-02T11:40:22.990485+07:00,74.3,76.0,84.0,87.1,21.50,,
2026-09-02T11:40:24.997942+07:00,63.4,75.3,84.0,87.1,7.50,,
2026-09-02T11:40:27.001406+07:00,60.8,74.4,84.0,87.1,12.50,,
2026-09-02T11:40:29.003892+07:00,63.1,69.8,84.0,87.1,32.50,,
2026-09-02T11:40:31.010697+07:00,59.1,69.9,84.0,87.1,52.50,,
2026-09-02T11:40:33.015875+07:00,53.2,69.8,84.0,87.1,46.00,,
2026-09-02T11:40:35.021426+07:00,59.4,69.7,84.0,87.1,54.50,,
2026-09-02T11:40:37.022921+07:00,47.4,69.6,84.0,87.1,50.00,,
2026-09-02T11:40:39.028362+07:00,51.8,70.3,84.0,87.1,50.00,,
2026-09-02T11:40:41.030234+07:00,63.7,70.3,84.0,87.1,45.50,,
2026-09-02T11:40:43.035429+07:00,56.8,71.1,84.0,87.1,41.50,,
2026-09-02T11:40:45.040726+07:00,56.4,71.1,84.0,87.1,53.00,,
2026-09-02T11:40:47.044849+07:00,59.9,71.1,84.0,87.1,43.00,,
2026-09-02T11:40:49.050425+07:00,59.0,70.8,84.0,87.1,51.50,,
2026-09-02T11:40:51.055712+07:00,61.2,71.2,84.0,87.1,54.50,,
2026-09-02T11:40:53.060605+07:00,56.0,71.4,84.0,87.1,55.50,,
2026-09-02T11:40:55.066197+07:00,58.5,71.3,84.0,87.1,53.00,,
2026-09-02T11:40:57.069900+07:00,57.5,71.3,84.0,87.1,62.00,,
2026-09-02T11:40:59.074178+07:00,58.1,71.4,84.0,87.1,56.50,,
2026-09-02T11:41:01.079433+07:00,54.0,72.2,84.0,87.1,55.50,,
2026-09-02T11:41:03.084597+07:00,60.0,71.5,84.0,87.1,41.50,,
2026-09-02T11:41:05.088417+07:00,37.3,71.6,84.0,87.1,47.50,,
2026-09-02T11:41:07.112601+07:00,45.4,74.0,84.0,87.1,30.00,,
2026-09-02T11:41:09.129904+07:00,84.2,81.9,84.2,87.1,15.00,,
2026-09-02T11:41:11.134983+07:00,74.4,80.4,84.2,87.1,19.50,,
2026-09-02T11:41:13.146128+07:00,65.7,81.7,84.2,87.1,5.00,,
2026-09-02T11:41:15.155641+07:00,67.3,83.3,84.2,87.1,2.50,,
2026-09-02T11:41:17.156054+07:00,71.1,80.7,84.2,87.1,15.50,,
2026-09-02T11:41:19.161837+07:00,61.7,80.3,84.2,87.1,25.50,,
2026-09-02T11:41:21.167091+07:00,64.9,80.1,84.2,87.1,19.50,,
2026-09-02T11:41:23.176646+07:00,65.3,81.0,84.2,87.1,22.00,,
2026-09-02T11:41:25.183985+07:00,67.8,81.2,84.2,87.1,24.50,,
2026-09-02T11:41:27.189957+07:00,71.9,82.0,84.2,87.1,2.00,,
